Number,Description,Last Updated,SEC Number,Topic(s),page
,Examination Brochure: Information about Examinations (PDF),March 2023,SEC 2389,,1
,Supplemental Information for Persons Requested to Supply Information Voluntarily to the Commission's Examination Staff (PDF),April 2021,SEC2866,Other Forms and Materials,1
1,Application for registration or exemption from registration as a national securities exchange (PDF),Feb. 1999,SEC1935,Self-Regulatory Organizations,1
1-A,Regulation A Offering Statement (PDF),Feb. 2025,SEC486,"Securities Act of 1933, Small Businesses",1
1-E,Notification under Regulation E (PDF),Aug. 2001,SEC1807,"Investment Company Act of 1940, Small Businesses, Investment Companies",1
1-K,Annual Reports and Special Financial Reports (PDF),Feb. 2025,SEC2913,"Securities Act of 1933, Small Businesses",1
1-N,Form and amendments for notice of registration as a national securities exchange for the sole purpose of trading security futures products (PDF),Dec. 2013,SEC2568,"Securities Exchange Act of 1934, Self-Regulatory Organizations, Small Businesses",1
1-SA,Semiannual Report or Special Financial Report Pursuant to Regulation A (PDF),Jan. 2021,SEC2914,"Securities Act of 1933, Small Businesses",1
1-U,Current Report Pursuant to Regulation A (PDF),Feb. 2025,SEC2915,"Securities Act of 1933, Small Businesses",1
1-Z,Exit Report Under Regulation A (PDF),June 2015,SEC2916,"Securities Act of 1933, Small Businesses",1
10,General form for registration of securities pursuant to Section 12(b) or (g) (PDF),Feb. 2021,SEC1396,Securities Exchange Act of 1934,1
10-D,Asset-Backed Issuer Distribution Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 (PDF),May 2019,SEC2503,Securities Exchange Act of 1934,1
10-K,Annual report pursuant to Section 13 or 15(d) (PDF),Feb. 2025,SEC1673,"Form 10-K, Securities Exchange Act of 1934, Public Companies",1
10-M,"Irrevocable Appointment of Agent for Service of Process, Pleadings and Other Papers by Non-Resident General Partner of Broker or Dealer (PDF)",June 2012,SEC878,Broker-Dealers,1
10-Q,General form for quarterly reports under Section 13 or 15(d) (PDF),Feb. 2025,SEC1296,"Securities Exchange Act of 1934, Public Companies",1
